act_role,eng_title,evaluation_num,movie_link,quote,ranking,rating_num,title
"
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino???主演: 约翰·特拉沃尔塔 John Tra...",?/?Pulp Fiction,386370人评价,https://movie.douban.com/subject/1291832/,故事的高级讲法。,71,8.8,低俗小说
,,,,,,,
"
                            导演: 姜文 Wen Jiang???主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...",?/?让子弹飞一会儿  /  火烧云,729096人评价,https://movie.douban.com/subject/3742360/,你给我翻译翻译，神马叫做TMD的惊喜。,72,8.7,让子弹飞
,,,,,,,
"
                            导演: Tim Burton???主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...",?/?Edward Scissorhands,549855人评价,https://movie.douban.com/subject/1292370/,浪漫忧郁的成人童话。,73,8.7,剪刀手爱德华
,,,,,,,
"
                            导演: 奥里奥尔·保罗 Oriol Paulo???主演: 马里奥·卡萨斯 Mario Casas / 阿...",?/?Contratiempo,423833人评价,https://movie.douban.com/subject/26580232/,你以为你以为的就是你以为的。,74,8.7,看不见的客人
,,,,,,,
"
                            导演: 乔纳森·戴米 Jonathan Demme???主演: 朱迪·福斯特 Jodie Foster / 安...",?/?The Silence of the Lambs,401287人评价,https://movie.douban.com/subject/1293544/,安东尼·霍普金斯的顶级表演。,75,8.7,沉默的羔羊
,,,,,,,
"
                            导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber???主...",?/?The Butterfly Effect,436033人评价,https://movie.douban.com/subject/1292343/,人的命运被自己瞬间的抉择改变。,76,8.7,蝴蝶效应
,,,,,,,
"
                            导演: 泷田洋二郎 Y?jir? Takita???主演: 本木雅弘 Masahiro Motoki / ...",?/?おくりびと,349745人评价,https://movie.douban.com/subject/2149806/,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,77,8.8,入殓师
,,,,,,,
"
                            导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang???主演: 邱岳峰 Yuefeng Qiu /...",?/?大闹天宫 上下集  /  The Monkey King,122431人评价,https://movie.douban.com/subject/1418019/,经典之作，历久弥新。,78,9.3,大闹天宫
,,,,,,,
"
                            导演: 王家卫 Kar Wai Wong???主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...",?/?春光乍洩,286111人评价,https://movie.douban.com/subject/1292679/,爱情纠缠，男女一致。,79,8.8,春光乍泄
,,,,,,,
"
                            导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci???主演: 尊龙 John Lone / 陈...",?/?The Last Emperor,207957人评价,https://movie.douban.com/subject/1293172/,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,80,9,末代皇帝
,,,,,,,
"
                            导演: 格斯·范·桑特 Gus Van Sant???主演: 马特·达蒙 Matt Damon / 罗宾·...",?/?Good Will Hunting,313572人评价,https://movie.douban.com/subject/1292656/,人生中应该拥有这样的一段豁然开朗。,81,8.8,心灵捕手
,,,,,,,
"
                            导演: 亚当·艾略特 Adam Elliot???主演: 托妮·科莱特 Toni Collette / 菲利...",?/?Mary and Max,253064人评价,https://movie.douban.com/subject/3072124/,你是我最好的朋友，你是我唯一的朋友 。,82,8.9,玛丽和马克思
,,,,,,,
"
                            导演: 姜文 Wen Jiang???主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao",?/?In the Heat of the Sun,312123人评价,https://movie.douban.com/subject/1291875/,一场华丽的意淫。,83,8.8,阳光灿烂的日子
,,,,,,,
"
                            导演: Chris Columbus???主演: Daniel Radcliffe / Emma Watson / Rupert Grint",?/?Harry Potter and the Sorcerer's Stone,311485人评价,https://movie.douban.com/subject/1295038/,童话世界的开端。,84,8.8,哈利·波特与魔法石
,,,,,,,
"
                            导演: 韦斯·安德森 Wes Anderson???主演: 拉尔夫·费因斯 Ralph Fiennes / ...",?/?The Grand Budapest Hotel,373326人评价,https://movie.douban.com/subject/11525673/,小清新的故事里注入了大历史的情怀。,85,8.8,布达佩斯大饭店
,,,,,,,
"
                            导演: 宫崎骏 Hayao Miyazaki???主演: 松田洋治 Y?ji Matsuda / 石田百合...",?/?もののけ姫,266783人评价,https://movie.douban.com/subject/1297359/,人与自然的战争史诗。,86,8.8,幽灵公主
,,,,,,,
"
                            导演: M·奈特·沙马兰 M. Night Shyamalan???主演: 布鲁斯·威利斯 Bruce Wi...",?/?The Sixth Sense,265615人评价,https://movie.douban.com/subject/1297630/,深入内心的恐怖，出人意料的结局。,87,8.8,第六感
,,,,,,,
